Quarter Ending,"Adelaide ($ per gigajoule)","Brisbane ($ per gigajoule)","Sydney ($ per gigajoule)"
Sep 10,3.46,,3.11
Dec 10,2.41,,2.56
Mar 11,3.24,,2.44
Jun 11,3.78,,3.51
Sep 11,3.84,,3.44
Dec 11,3.52,2.93,2.65
Mar 12,3.57,3.20,3.13
Jun 12,4.24,4.01,4.57
Sep 12,5.92,5.39,6.25
Dec 12,4.52,5.08,4.57
Mar 13,4.83,7.09,4.70
Jun 13,5.07,6.13,5.26
Sep 13,5.01,5.78,4.42
Dec 13,4.02,5.02,3.95
Mar 14,4.32,4.38,3.97
Jun 14,3.89,3.00,3.76
Sep 14,3.84,2.34,3.85
Dec 14,3.25,1.30,2.30
Mar 15,3.82,3.62,3.83
Jun 15,4.16,1.89,3.81
Sep 15,5.67,4.23,5.07
Dec 15,4.49,3.13,4.26
Mar 16,5.28,5.06,4.39
Jun 16,7.55,6.23,6.50
Sep 16,9.57,7.22,7.85
Dec 16,7.17,7.37,6.77
Mar 17,9.48,10.10,10.39
Jun 17,9.11,8.20,10.29
Sep 17,8.25,6.72,9.03
Dec 17,7.19,7.41,7.12
Mar 18,8.65,7.54,9.30
Jun 18,8.16,8.18,8.56
Sep 18,9.33,9.49,9.44
Dec 18,10.35,10.01,10.29
Mar 19,10.26,9.42,10.21
Jun 19,10.45,8.72,9.75
Sep 19,8.89,7.28,8.34
Dec 19,8.20,6.68,7.59
Mar 20,6.27,5.20,5.69
Jun 20,5.13,3.89,4.31
Sep 20,5.41,4.17,4.37
Dec 20,6.00,6.28,5.96
Mar 21,6.06,6.37,6.06
Jun 21,8.69,8.48,8.46
Sep 21,11.51,10.65,11.16
Dec 21,10.67,10.91,10.52
Mar 22,10.17,10.22,9.82
Jun 22,29.85,28.81,28.87
Sep 22,27.29,25.95,27.06
Dec 22,18.59,17.85,17.71
Mar 23,12.59,11.81,12.05
Jun 23,15.18,14.39,14.76
Sep 23,10.80,10.34,10.36
Dec 23,11.23,10.91,10.81
Mar 24,11.65,11.80,11.71
Jun 24,13.86,13.66,13.94
Sep 24,12.78,12.63,12.57
Dec 24,13.55,14.71,13.66
Mar 25,13.51,13.64,13.33
Jun 25,12.90,12.40,12.59
Sep 25,12.76,12.79,12.75
Dec 25,12.82,12.95,12.82
Mar 26,10.61,10.56,10.65
