duid,slope,se,mean_margin,n
BARKIPS1,-0.0146800807389293,0.0131559118120508,114.895906314286,35
DRYCGT1,-0.00640096519738599,0.0037678181361452,68.5743663142858,35
DRYCGT2,-0.00306223886727771,0.00255103992903564,68.5743663142858,35
DRYCGT3,-0.00673729254872507,0.00571357953726358,68.5743663142858,35
OSB-AG,-0.00244339303801478,0.0349338203261932,115.532612151515,33
PPCCGT,0.0315574942865237,0.0285724670491136,133.402362441177,34
QPS5,-0.0184246311082745,0.00742756056832552,114.034897,34
TORRB2,0.0221993144396549,0.0171283291025399,79.5509787666667,30
TORRB3,0.0087905987452844,0.0250820331576556,90.1751451470589,34
TORRB4,-0.011497439235653,0.0228082681988971,91.3698838529412,34
MINTARO,-0.0431984955917844,0.0157590378639585,85.2382712727273,22
