scope,instruction,dbin,n_obs,maxavail,rel_maxavail,abovesrmc,dbin_lo
onset,Remain,"[-Inf,-48)",992,133.671959005376,-4.43455981182796,0.667039075714453,-Inf
onset,Remain,"[-48,-36)",83,82.570281124498,-58.0190763052209,0.772314549734717,-48
onset,Remain,"[-36,-24)",118,133.843926553672,-72.6723163841808,0.621955376220441,-36
onset,Remain,"[-24,-18)",129,86.3688630490956,-4.32687338501291,0.72748258337695,-24
onset,Remain,"[-18,-12)",352,61.2784090909091,-8.57149621212122,0.731076905040767,-18
onset,Remain,"[-12,-9)",511,63.6521526418787,3.4558056099152,0.807046312160866,-12
onset,Remain,"[-9,-6)",83,86.6967871485944,-22.5963855421687,0.768461081115731,-9
onset,Remain,"[-6,-3)",43,92.2635658914729,-19.2693798449612,0.781923488454457,-6
onset,Remain,"[-3,-1)",24,130.131944444444,23.8159722222222,0.72035924717708,-3
onset,Remain,"[-1,0)",12,87.0833333333333,-55.1041666666667,0.673965199939713,-1
onset,Remain,"[0,1)",11,161.431818181818,-45.8409090909091,0.611246598933092,0
onset,Remain,"[1,3)",25,100.306666666667,-24.6,0.761266033649842,1
onset,Remain,"[3,6)",83,97.0763052208835,-0.406626506024102,0.779637308297801,3
onset,Remain,"[6,12)",199,90.571608040201,34.7902010050252,0.781210410927164,6
onset,Remain,"[12,24)",459,117.069353667393,74.108024691358,0.792088100964237,12
onset,Remain,"[24, Inf)",26,82.6923076923077,51.9230769230769,0.820512820512821,24
onset,Synchronise,"[-Inf,-48)",1868,73.7992059243398,7.61955745895789,0.874617531141038,-Inf
onset,Synchronise,"[-48,-36)",196,83.0525510204082,7.71113945578231,0.913357255874436,-48
onset,Synchronise,"[-36,-24)",130,110.569230769231,17.7339743589744,0.885891526420341,-36
onset,Synchronise,"[-24,-18)",191,79.6983420593368,11.4287085514834,0.866798184724101,-24
onset,Synchronise,"[-18,-12)",455,72.3868131868132,31.7556776556777,0.813374314808118,-18
onset,Synchronise,"[-12,-9)",792,59.0573442760943,13.582702020202,0.854801520915579,-12
onset,Synchronise,"[-9,-6)",219,67.5589802130898,9.837899543379,0.844289784091877,-9
onset,Synchronise,"[-6,-3)",122,73.7896174863388,15.7418032786885,0.857826513107126,-6
onset,Synchronise,"[-3,-1)",48,75.2569444444444,26.7690972222222,0.786053240740741,-3
onset,Synchronise,"[-1,0)",24,78.0763888888889,25.5763888888889,0.772566526610644,-1
onset,Synchronise,"[0,1)",22,90.4090909090909,34.0909090909091,0.760711102622867,0
onset,Synchronise,"[1,3)",54,82.4552469135803,4.96604938271605,0.751031454248366,1
onset,Synchronise,"[3,6)",186,55.4793906810036,11.8275089605735,0.815934344081043,3
onset,Synchronise,"[6,12)",386,76.7435233160622,22.4034974093264,0.798765529852892,6
onset,Synchronise,"[12,24)",650,101.478717948718,59.1246153846154,0.774009230654687,12
onset,Synchronise,"[24, Inf)",54,70.2407407407408,20.2962962962963,0.899337805297557,24
whole,Remain,"[-Inf,-48)",1877,111.864090416533,-3.18354536721699,0.682545877565266,-Inf
whole,Remain,"[-48,-36)",150,89.5732466536037,-38.9744545409671,0.740526396486586,-48
whole,Remain,"[-36,-24)",148,123.785828818625,-55.4080645629716,0.626689862035464,-36
whole,Remain,"[-24,-18)",145,89.1055221543981,-3.79204138863609,0.711030927564865,-24
whole,Remain,"[-18,-12)",413,80.4810938870229,7.12198881694077,0.719297863051754,-18
whole,Remain,"[-12,-9)",532,68.8988691919654,8.5092175075559,0.775021231147296,-12
whole,Remain,"[-9,-6)",110,78.2215974676686,-26.2486979898551,0.718830936699084,-9
whole,Remain,"[-6,-3)",65,81.257916725298,-49.057671453486,0.77075414967907,-6
whole,Remain,"[-3,-1)",34,107.254261521359,29.9605069480529,0.753303128297252,-3
whole,Remain,"[-1,0)",18,88.9746274098593,-60.0663055390577,0.707229581817269,-1
whole,Remain,"[0,1)",18,143.01677423106,-70.2755334612478,0.597419964906447,0
whole,Remain,"[1,3)",34,76.9291898985735,-18.6330628262079,0.779068833048877,1
whole,Remain,"[3,6)",178,74.9968255033422,7.69309587690382,0.765365032964108,3
whole,Remain,"[6,12)",514,82.7527387290154,28.980251662475,0.740613913807705,6
whole,Remain,"[12,24)",854,113.396427300676,71.949544132623,0.772004259975653,12
whole,Remain,"[24, Inf)",1284,102.63769215188,63.0187148682065,0.794060873206652,24
whole,Synchronise,"[-Inf,-48)",3395,67.4216486449412,6.63411677263699,0.868701845404359,-Inf
whole,Synchronise,"[-48,-36)",361,78.8515930770354,5.56564546394452,0.925319886220254,-48
whole,Synchronise,"[-36,-24)",191,103.900143268973,19.4099281009405,0.86252537438479,-36
whole,Synchronise,"[-24,-18)",251,78.8600433932194,8.99220687477257,0.897349808738204,-24
whole,Synchronise,"[-18,-12)",555,70.685013965299,24.6237533329239,0.838709118720643,-18
whole,Synchronise,"[-12,-9)",825,57.4280455019075,10.2837539521461,0.858071107063155,-12
whole,Synchronise,"[-9,-6)",251,66.4154946882957,6.96227634285348,0.850362677812473,-9
whole,Synchronise,"[-6,-3)",142,72.7756195809501,10.8029547733025,0.870627292671047,-6
whole,Synchronise,"[-3,-1)",53,70.9360717267257,17.0228535666666,0.820792288834617,-3
whole,Synchronise,"[-1,0)",33,75.499581106724,20.0150904283062,0.829471073423656,-1
whole,Synchronise,"[0,1)",26,85.4967024697365,34.5326592336277,0.768003777195842,0
whole,Synchronise,"[1,3)",66,76.3751783270713,4.33633533930608,0.79258931552341,1
whole,Synchronise,"[3,6)",326,53.6922469416694,8.08249346446118,0.842514659094348,3
whole,Synchronise,"[6,12)",802,65.5622724816543,16.8015836201991,0.807170387667934,6
whole,Synchronise,"[12,24)",1309,81.8125120756966,41.4016860179843,0.820750434397523,12
whole,Synchronise,"[24, Inf)",1743,74.0953296264162,41.9460351718622,0.816526735647373,24
