month,raw,inforce,merged,no_ladder,no_srmc
202201,465120,53568,53568,0,0
202202,404928,48384,48384,0,0
202203,417888,53568,53568,0,0
202204,445824,51840,51840,0,0
202205,538848,53568,53568,0,0
202206,561312,51840,51840,0,0
202207,571680,53568,53568,0,0
202208,495936,53568,53568,0,0
202209,469152,51840,51840,0,0
202210,487008,53568,53568,0,0
202211,509184,51840,51840,0,0
202212,366912,53568,53568,0,0
202301,382464,53568,53568,0,0
202302,385056,48384,48384,0,0
202303,398304,53568,53568,0,0
202304,438624,51840,51840,0,0
202305,423936,53568,53568,0,0
202306,493344,51840,51840,0,0
202307,427680,53568,53568,0,0
202308,492768,53568,53568,0,0
202309,330048,51840,51840,0,0
202310,365760,53568,53568,0,0
202311,412416,51840,51840,0,0
202312,393408,53568,53568,0,0
202401,418176,53568,53568,0,0
202402,417312,50112,50112,0,0
202403,527040,53568,53568,0,0
202404,510624,51840,51840,0,0
202405,543456,53568,53568,0,0
202406,618336,51840,51840,0,0
202407,715104,53568,53568,0,0
202408,520704,53568,53568,0,0
202409,357696,51840,51840,0,0
202410,446688,53568,53568,0,0
202411,588384,51840,51840,0,0
202412,488736,53568,53568,0,0
