term,estimate,std.error,statistic,p.value,model,outcome,nobs,row
essentialTRUE,-0.00274729867326506,0.0273303066065155,-0.100522058271022,0.920520298409599,M1,a_fixed300,1227016,drop 2022-06 (market suspension)
essentialTRUE,-0.00290720454629653,0.0273833294012289,-0.106166949376363,0.916073830372219,M3,a_fixed300,1227016,drop 2022-06 (market suspension)
essentialTRUE,-0.0116421348998356,0.02852968449285,-0.408070930568942,0.685780094033925,M1,b_2xSRMC,1227016,drop 2022-06 (market suspension)
essentialTRUE,-0.0118110839889627,0.0285989146447446,-0.412990637430822,0.68220649603134,M3,b_2xSRMC,1227016,drop 2022-06 (market suspension)
essentialTRUE,-0.0375732367322679,0.0220263243583055,-1.70583326210303,0.0968998595825009,M1,a_fixed300,946182,Torrens only
essentialTRUE,-0.0373461740854873,0.0225205436677693,-1.65831583093333,0.106190866894909,M3,a_fixed300,946182,Torrens only
essentialTRUE,-0.0762941326454434,0.0361092444089146,-2.11286981753094,0.0418160589727343,M1,b_2xSRMC,946182,Torrens only
essentialTRUE,-0.0760465375650937,0.035526132389715,-2.14058025598952,0.0393530910991554,M3,b_2xSRMC,946182,Torrens only
essentialTRUE,0.185851718722679,0.0990593640195394,1.87616507093686,0.068991874769509,M1,a_fixed300,315394,PPCCGT only (no unit FE possible)
essentialTRUE,0.184386909866006,0.0985583187175755,1.87084065825409,0.0697469845541439,M3,a_fixed300,315394,PPCCGT only (no unit FE possible)
essentialTRUE,0.128450988964322,0.0842158565209789,1.52525895087612,0.136180964565249,M1,b_2xSRMC,315394,PPCCGT only (no unit FE possible)
essentialTRUE,0.127832772306574,0.0836241177511067,1.52865914456697,0.13533726578742,M3,b_2xSRMC,315394,PPCCGT only (no unit FE possible)
essentialTRUE,-0.00446133096682218,0.0227543584038402,-0.196064898321601,0.845693324641326,M1,a_fixed300,1261576,slope_direct_20 in place of slope_kernel
essentialTRUE,-0.00402360262985471,0.0233064922506352,-0.172638704554309,0.863929897903036,M3,a_fixed300,1261576,slope_direct_20 in place of slope_kernel
essentialTRUE,-0.0483300973186088,0.0380667389714353,-1.26961485602628,0.212598929415595,M1,b_2xSRMC,1261576,slope_direct_20 in place of slope_kernel
essentialTRUE,-0.0478316525144836,0.0377867873786034,-1.26583009122305,0.213935285068522,M3,b_2xSRMC,1261576,slope_direct_20 in place of slope_kernel
essentialTRUE,-0.0174963499622684,0.0254601654279087,-0.687204881359076,0.496482298145666,M1,a_fixed300,1184492,nonsync SHARE control (TOTALDEMAND>500 only)
essentialTRUE,-0.0169246888034586,0.0256360725298463,-0.66019039319515,0.51345330863946,M3,a_fixed300,1184492,nonsync SHARE control (TOTALDEMAND>500 only)
essentialTRUE,-0.0643343340586478,0.0444714425302716,-1.44664374255131,0.156893859762804,M1,b_2xSRMC,1184492,nonsync SHARE control (TOTALDEMAND>500 only)
essentialTRUE,-0.0636867788856026,0.0436127623117909,-1.46027849440723,0.153132541759844,M3,b_2xSRMC,1184492,nonsync SHARE control (TOTALDEMAND>500 only)
essentialTRUE,-0.0408305324811419,0.0261993378364142,-1.55845665780117,0.128385778613292,M1,a_fixed300,920262,"Torrens only, drop 2022-06"
essentialTRUE,-0.0415723340023854,0.0264676900229509,-1.57068236655095,0.125517364649252,M3,a_fixed300,920262,"Torrens only, drop 2022-06"
essentialTRUE,-0.0414490220129327,0.0272243233227717,-1.52249962364584,0.137131467849617,M1,b_2xSRMC,920262,"Torrens only, drop 2022-06"
essentialTRUE,-0.0421682906461091,0.0275038593977801,-1.53317721837658,0.134485634541453,M3,b_2xSRMC,920262,"Torrens only, drop 2022-06"
