DUID,yr,n_days,pct_at_neg1000,pct_cheap_le0,pct_mid,pct_at_cap,median
OSB-AG,2022,365,21.9,21.9,0.3,77.8,15100
OSB-AG,2023,365,9,9,0,91,15500
OSB-AG,2024,366,11.2,11.2,1.1,87.7,16600
PPCCGT,2022,365,0,27.1,1.6,71.2,15100
PPCCGT,2023,365,0,23,0.3,76.7,15500
PPCCGT,2024,366,0,18.3,1.9,79.8,16600
TORRB2,2022,365,18.6,18.6,11.5,69.9,15100
TORRB2,2023,365,4.7,4.7,8.5,86.8,15500
TORRB2,2024,366,16.1,16.1,14.2,69.7,16600
TORRB3,2022,365,25.5,25.5,19.5,55.1,15100
TORRB3,2023,365,7.4,7.4,9,83.6,15500
TORRB3,2024,366,19.9,19.9,26.5,53.6,16600
TORRB4,2022,365,23.6,23.6,12.3,64.1,15100
TORRB4,2023,365,8.2,8.2,9,82.7,15500
TORRB4,2024,366,11.7,11.7,16.1,72.1,16600
