term,estimate,std.error,statistic,p.value,nobs,outcome,model
essential_dayTRUE,163.037540079586,396.958562739301,0.410716773444839,0.68378396610732,4384,composite,M1
srmc,-62.3395941502795,24.3809622973787,-2.55689637635763,0.0150543275982164,4384,composite,M1
dem,-9.05617013936155,0.675105374100606,-13.4144542271293,2.33621636896439e-15,4384,composite,M1
ns,5.75449969652843,0.48895753102312,11.7689151540164,1.01375804226992e-13,4384,composite,M1
rrp,-2.84267936133957,0.973042849305982,-2.92143286738821,0.00606434933693945,4384,composite,M1
essential_dayTRUE,84.6181218370366,354.987552309268,0.238369264743448,0.812984822250507,4384,composite,M3
srmc,-65.0287634918718,23.6693859650925,-2.7473785584373,0.00942909032050692,4384,composite,M3
dem,-8.83139168742315,0.769095278733337,-11.482831752612,2.01881103290399e-13,4384,composite,M3
ns,5.60130288057013,0.52654358777487,10.6378712239964,1.64035504683303e-12,4384,composite,M3
rrp,-2.89583442402651,0.976327935155153,-2.96604687805673,0.00540484435100423,4384,composite,M3
slope_mean,-33.2978697138597,67.4846171938297,-0.493414219394938,0.624801928275363,4384,composite,M3
sat_share,4022.75209657281,4479.23878334082,0.898088334012071,0.375275300242173,4384,composite,M3
essential_dayTRUE,-0.0226769166388292,0.0100049654254837,-2.26656621731733,0.0297038957561909,4384,rank,M1
srmc,-0.00211505157699572,0.000512076860007459,-4.13034007622394,0.000213772360119109,4384,rank,M1
dem,-0.000219788990064344,3.19545203632027e-05,-6.87818147686679,5.49002712563974e-08,4384,rank,M1
ns,0.000136956928645124,2.67989278637445e-05,5.11053760588716,1.14850633655341e-05,4384,rank,M1
rrp,-9.1703261695987e-05,3.61393066470581e-05,-2.53749366559726,0.015774293060991,4384,rank,M1
essential_dayTRUE,-0.0268275978004234,0.010389539960036,-2.58217379245062,0.0141616503269788,4384,rank,M3
srmc,-0.00225097917429352,0.00052014748244455,-4.32757871616438,0.000119829336929121,4384,rank,M3
dem,-0.00020365599548417,2.8290859421541e-05,-7.19865001093266,2.12103184812008e-08,4384,rank,M3
ns,0.000125939067036665,2.56614785942466e-05,4.90770890594358,2.11944130244029e-05,4384,rank,M3
rrp,-9.29537184514182e-05,3.62302586399622e-05,-2.5656377277111,0.0147399357207566,4384,rank,M3
slope_mean,-0.00271502758894715,0.00273115800433679,-0.994093928156471,0.327000508074691,4384,rank,M3
sat_share,0.215634715327631,0.113392706802299,1.90166300292657,0.0654721525641178,4384,rank,M3
essential_dayTRUE,-0.134210260540634,0.0355402467063405,-3.7762895021404,0.000593192763762506,4384,A_withdrawal,M1
srmc,-0.00255679012943703,0.00187611917730235,-1.3628079497132,0.181647644071519,4384,A_withdrawal,M1
dem,-0.00029266639794796,5.8005181272007e-05,-5.04552165048055,1.39811184530378e-05,4384,A_withdrawal,M1
ns,0.000145728121814355,3.69080187569968e-05,3.94841356220805,0.000362354505255486,4384,A_withdrawal,M1
rrp,-0.000125846978376593,4.53986338576353e-05,-2.77204329036054,0.00886430380914208,4384,A_withdrawal,M1
essential_dayTRUE,-0.126775274020154,0.0328016708613244,-3.86490293607669,0.00046062983238463,4384,A_withdrawal,M3
srmc,-0.00241131980494841,0.00190867328671708,-1.26334864208001,0.21481488036293,4384,A_withdrawal,M3
dem,-0.000386349229952686,6.19243911727908e-05,-6.23904769406027,3.74407177168113e-07,4384,A_withdrawal,M3
ns,0.000209961476008346,3.70944049855052e-05,5.66019258404034,2.16619358024888e-06,4384,A_withdrawal,M3
rrp,-0.000147513246321383,4.65368607100152e-05,-3.16981515449831,0.00316385149740714,4384,A_withdrawal,M3
slope_mean,0.019433348664596,0.00481032574760691,4.03992363183802,0.000278101845685078,4384,A_withdrawal,M3
sat_share,-0.427762206855828,0.232137696171585,-1.84270893487134,0.0738551033350933,4384,A_withdrawal,M3
essential_dayTRUE,2351.22433931074,822.192629432206,2.85970009355893,0.00710227912795332,1223,B_pricing,M1
srmc,-70.5118887259236,22.3970769032884,-3.14826300907021,0.00335063374688785,1223,B_pricing,M1
dem,-16.1413351971547,1.33076581443729,-12.1293581650803,4.31789523902275e-14,1223,B_pricing,M1
ns,9.88786120947914,0.963920869203146,10.25795947094,4.33548853785835e-12,1223,B_pricing,M1
rrp,-1.13350093990056,1.19121231845636,-0.951552399465956,0.347849368243154,1223,B_pricing,M1
essential_dayTRUE,1982.74100086684,841.349989349036,2.35661856060747,0.0241682337943249,1223,B_pricing,M3
srmc,-72.7329788559694,29.6610819285476,-2.45213505802588,0.0193317086651302,1223,B_pricing,M3
dem,-11.9780960526533,1.91350676737229,-6.25976153149547,3.51687062065555e-07,1223,B_pricing,M3
ns,7.20874725513276,1.25895581554746,5.72597319628572,1.77381363634525e-06,1223,B_pricing,M3
rrp,-1.0274812505344,1.28992477857019,-0.796543540836009,0.431086349312931,1223,B_pricing,M3
slope_mean,-807.414766383633,183.840343253272,-4.391934610736,9.9075457808842e-05,1223,B_pricing,M3
sat_share,20276.4085085456,12561.3226554582,1.61419374891505,0.115466302397561,1223,B_pricing,M3
